id;description;title;device_id
655;3G, 4G LTE;Поколение мобильной связи:;110
657;Android 10;Операционная система:;110
658;да;Поддержка двух SIM-карт:;110
659;синий;Цвет:;110
660;Китай;Страна-производитель:;110
661;3G, 4G LTE;Поколение мобильной связи:;111
663;Android 10;Операционная система:;111
664;да;Поддержка двух SIM-карт:;111
665;серый;Цвет:;111
666;Китай;Страна-производитель:;111
667;4G LTE;Поколение мобильной связи:;112
669;Android 11;Операционная система:;112
670;да;Поддержка двух SIM-карт:;112
671;черный;Цвет:;112
672;Китай;Страна-производитель:;112
673;5G;Поколение мобильной связи:;113
675;iOS 14;Операционная система:;113
676;да;Поддержка двух SIM-карт:;113
677;синий;Цвет:;113
678;Китай;Страна-производитель:;113
679;5G;Поколение мобильной связи:;114
681;iOS 14;Операционная система:;114
682;да;Поддержка двух SIM-карт:;114
683;графитовый;Цвет:;114
684;Китай;Страна-производитель:;114